plot_id;tree_id;measure_id;dbh_cm;height_h;drainage_texture_class;potential_vegetation;climatic_domain;ratio_dbh_meandbh;precipitation;temperature;basal_area_m2ha;nb_trees_ha;height_minus_1_3;log_dbh;log_dbh2
99100101;1;1;61.9;24.3;2;FE2;1;2.1928687659;1144.4016;6.5748;34.419819256;550;23;4.1415461637;17.152404626
99100101;1;2;65.3;25.2;2;FE2;1;2.7778067272;1144.4016;6.5748;23.871234699;550;23.9;4.1941898972;17.591228894
99100102;4;2;21;17.3;2;FE2;1;1.1369891136;1151.9614;6.5147;14.066147312;525;16;3.0910424534;9.5545434485
99100102;6;1;15.7;15.1;2;FE2;1;0.8011467037;1151.9614;6.5147;6.7865273551;225;13.8;2.8154087194;7.9265262574
99100102;6;2;21.7;19.7;2;FE2;1;1.1748887507;1151.9614;6.5147;14.066147312;525;18.4;3.1223649245;9.7491627217
99100102;7;1;11;9.1;2;FE2;1;0.5613129771;1151.9614;6.5147;6.7865273551;225;7.8;2.4849066498;6.1747610582
99100102;7;2;14.9;14.9;2;FE2;1;0.8067208472;1151.9614;6.5147;14.066147312;525;13.6;2.7663191092;7.6525214141
99100102;8;1;20.2;22.6;2;FE2;1;1.0307747398;1151.9614;6.5147;6.7865273551;225;21.3;3.0540011817;9.3269232177
99100102;8;2;27.1;21;2;FE2;1;1.4672573799;1151.9614;6.5147;14.066147312;525;19.7;3.3357695763;11.127358666
99100201;18;1;29.9;18.9;2;FE3;3EST;1.471178113;1457.7967;3.6974;26.764288103;825;17.6;3.4307561839;11.770087993
99100201;18;2;31.4;21.2;2;FE3;3EST;1.4680999646;1457.7967;3.6974;25.149882544;700;19.9;3.4781584228;12.097586014
99100201;30;1;24.9;19.5;2;FE3;3EST;1.2251617061;1457.7967;3.6974;26.764288103;825;18.2;3.2542429687;10.590097299
99100201;30;2;26.1;20.5;2;FE3;3EST;1.2202996521;1457.7967;3.6974;25.149882544;700;19.2;3.2995337279;10.886922821
99100201;6;1;12.8;7.4;2;FE3;3EST;0.6298020015;1457.7967;3.6974;26.764288103;825;6.1;2.6246685922;6.8888852187
99100202;11;1;25.1;13.3;2;FE3;3EST;0.9317512176;1473.3218;3.5232;39.896557729;700;12;3.2619353143;10.640221995
99100202;16;1;45.3;20;2;FE3;3EST;1.6816067792;1473.3218;3.5232;39.896557729;700;18.7;3.8351419611;14.708313862
99100202;21;1;31.2;21.6;2;FE3;3EST;1.1581927486;1473.3218;3.5232;39.896557729;700;20.3;3.4719664526;12.054551048
99100202;21;2;32.6;21.8;2;FE3;3EST;1.1018500462;1473.3218;3.5232;41.250701973;600;20.5;3.514526067;12.351893475
99100202;25;2;21.8;14.7;2;FE3;3EST;0.7368199696;1473.3218;3.5232;41.250701973;600;13.4;3.126760536;9.7766314492
99100202;27;1;19.8;17.4;2;FE3;3EST;0.7350069366;1473.3218;3.5232;39.896557729;700;16.1;3.0349529867;9.2109396315
99100202;27;2;20.8;17.5;2;FE3;3EST;0.7030208884;1473.3218;3.5232;41.250701973;600;16.2;3.0819099698;9.4981690619
99100202;28;2;39.5;21.4;2;FE3;3EST;1.3350637063;1473.3218;3.5232;41.250701973;600;20.1;3.7013019741;13.699636304
99100202;5;1;21;18.8;2;FE3;3EST;0.7795528115;1473.3218;3.5232;39.896557729;700;17.5;3.0910424534;9.5545434485
99100202;5;2;22.7;18;2;FE3;3EST;0.7672391426;1473.3218;3.5232;41.250701973;600;16.7;3.1654750481;10.02023228
99100301;10;1;15.1;17.7;2;FE2;2EST;0.4393796756;1182.5369;5.8917;25.509182568;275;16.4;2.778819272;7.7218365464
99100301;10;2;17.2;17.9;2;FE2;2EST;0.4535573851;1182.5369;5.8917;28.237243454;250;16.6;2.9014215941;8.4182472666
99100301;11;2;29;25.3;2;FE2;2EST;0.764718847;1182.5369;5.8917;28.237243454;250;24;3.4011973817;11.568143629
99100301;16;2;9.6;10.6;2;FE2;2EST;0.253148308;1182.5369;5.8917;28.237243454;250;9.3;2.3608540011;5.5736316146
99100301;2;1;56.1;26.8;2;FE2;2EST;1.6323973378;1182.5369;5.8917;25.509182568;275;25.5;4.0448041167;16.360440342
99100301;2;2;57.9;28.1;2;FE2;2EST;1.5268007325;1182.5369;5.8917;28.237243454;250;26.8;4.0758410907;16.612480596
99100301;4;1;11.4;14.3;2;FE2;2EST;0.3317171061;1182.5369;5.8917;25.509182568;275;13;2.5176964726;6.3387955282
99100301;6;1;12.6;15.5;2;FE2;2EST;0.3666346962;1182.5369;5.8917;25.509182568;275;14.2;2.6100697927;6.812464323
99100301;8;1;31.8;25.9;2;FE2;2EST;0.925316138;1182.5369;5.8917;25.509182568;275;24.6;3.4904285154;12.183091221
99100301;8;2;38.2;26.8;2;FE2;2EST;1.0073193088;1182.5369;5.8917;28.237243454;250;25.5;3.6686767468;13.459189072
99100302;10;1;9.7;13.8;2;FE2;2EST;0.3774602438;1178.2613;5.9282;15.560092429;300;12.5;2.3702437415;5.618055394
99100302;10;2;13.8;16.2;2;FE2;2EST;0.4748632701;1178.2613;5.9282;21.55729463;325;14.9;2.6946271808;7.2610156433
99100302;17;2;13.8;16.6;2;FE2;2EST;0.4748632701;1178.2613;5.9282;21.55729463;325;15.3;2.6946271808;7.2610156433
99100302;4;1;9.5;11.9;2;FE2;2EST;0.3696775584;1178.2613;5.9282;15.560092429;300;10.6;2.3513752572;5.5289656
99100302;6;1;35.1;20.8;2;FE2;2EST;1.3658612946;1178.2613;5.9282;15.560092429;300;19.5;3.5862928653;12.861496516
